# Barycentered_MJD S/mJy
59836.438007 -2.131
59836.438122 -0.951
59836.438237 -1.675
59836.438353 -1.519
59836.438468 -0.461
59836.438584 -3.184
59836.438698 0.025
59836.438814 0.397
59836.438928 -1.473
59836.439044 -1.018
59836.439159 -0.884
59836.439275 -2.016
59836.439389 -1.177
59836.439505 0.312
59836.439619 -0.319
59836.439735 -0.254
59836.439850 -0.434
59836.439965 -0.887
59836.440081 -1.160
59836.440196 -0.814
59836.440312 -1.140
59836.440426 -3.020
59836.440542 -0.219
59836.440656 0.077
59836.440772 -0.832
59836.440887 -0.341
59836.441003 -1.025
59836.441117 1.356
59836.441233 -1.938
59836.441347 -0.414
59836.441463 1.443
59836.441578 -0.033
59836.441693 -0.118
59836.441809 -0.929
59836.441924 0.610
59836.442040 2.263
59836.442154 1.764
59836.442270 -0.424
59836.442384 0.062
59836.442500 2.091
59836.442615 -0.325
59836.442731 -2.928
59836.442845 1.022
59836.442961 2.171
59836.443075 0.043
59836.443191 -0.542
59836.443306 1.160
59836.443421 0.293
59836.443536 0.812
59836.443652 -1.504
59836.443768 -0.844
59836.443882 -0.165
59836.443998 1.307
59836.444112 -0.814
59836.444228 -0.921
59836.444343 1.050
59836.444459 -0.336
59836.444573 -1.676
59836.444689 -1.273
59836.444803 1.943
59836.444919 -2.494
59836.445034 2.585
59836.445149 -0.826
59836.445264 -0.802
59836.445380 0.504
59836.445496 -0.309
59836.445610 2.131
59836.445726 -0.984
59836.445840 -0.034
59836.445956 -1.442
59836.446071 0.303
59836.446187 1.763
59836.446301 -1.373
59836.446417 -0.203
59836.446531 -0.345
59836.446647 -2.295
59836.446762 2.615
59836.446878 1.196
59836.446992 0.129
59836.447108 0.734
59836.447224 0.852
59836.447338 -0.722
59836.447454 -1.349
59836.447568 0.988
59836.447684 -3.031
59836.447799 1.067
59836.447915 0.426
59836.448029 0.282
59836.448145 0.887
59836.448259 -1.097
59836.448375 -0.240
59836.448490 0.782
59836.448606 -1.551
59836.448720 -1.437
59836.448836 1.325
59836.448952 -1.294
59836.449066 -2.527
59836.449182 -0.826
59836.449296 0.022
59836.449412 -0.623
59836.449527 -0.096
59836.449643 1.024
59836.449757 -1.951
59836.449873 -1.901
59836.449987 -2.242
59836.450103 -0.212
59836.450218 -2.401
59836.450334 -1.076
59836.450448 -1.757
59836.450564 -2.131
59836.450680 1.591
59836.450794 0.913
59836.450910 0.991
59836.451024 -1.632
59836.451140 -0.185
59836.451255 0.598
59836.451371 -0.405
59836.451485 -1.684
59836.451601 -0.606
59836.451715 -0.363
59836.451831 -2.346
59836.451946 -1.178
59836.452062 -1.496
59836.452176 2.419
59836.452292 -2.051
59836.452408 -0.228
59836.452522 -0.140
59836.452638 0.027
59836.452753 -2.212
59836.452868 2.202
59836.452983 -1.202
59836.453099 0.071
59836.453213 -0.320
59836.453329 0.210
