# MJD mid-point (TDB)   semi-duration of the time bin (days)   0.3-10 keV Net count rate (cts/s)   1-sigma uncertainty on net count rate (cts/s)

59836.2168  1.0416667E-2  5.26052155E-3  3.46235745E-3 
59836.2363  1.0416667E-2  4.49055247E-3  4.68671368E-3 
59836.2578  1.0416667E-2  1.59696874E-3  4.73483E-3 
59836.2793  1.0416667E-2  8.91740341E-3  4.74508898E-3 
59836.2988  1.0416667E-2  -1.0663718E-2  4.61265072E-3
59836.3203  1.0416667E-2  4.3863696E-3  1.12960031E-2 
59836.3418  1.0416667E-2  -3.05831409E-3  1.45427044E-2 
59836.3828  1.0416667E-2  1.05510687E-3  8.21304321E-3 
59836.4043  1.0416667E-2  -3.24443303E-4  3.95944109E-3 
59836.4238  1.0416667E-2  1.21479912E-3  3.86902806E-3 
59836.4453  1.0416667E-2  6.30993117E-3  3.53104575E-3 
59836.4668  1.0416667E-2  1.57157797E-3  2.87929852E-3 
59836.4863  1.0416667E-2  1.08923274E-3  2.93921144E-3 
59836.5078  1.0416667E-2  2.36487086E-3  3.82921775E-3 
