t,ImJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg
5165061242.291093,5.667904,0.009257302986450396,0.04111435540066058,-527.5591901082852,41.923645952349624,102.3641580152671,388.09353591794036,137.01752471923828,127.3946830067261
5165061244.291846,16.11698,0.011275392095240479,0.03296984815662756,-528.6093546053659,27.60166820686747,51.26756500422471,250.0668135062191,15.545167922973633,83.78231142131881
5165061246.292641,68.37265,0.009882043355191857,0.029007330906227553,-536.3758999820336,27.708374671897523,149.48969277943615,251.13975129981407,41.033206939697266,84.20525317630377
5165061248.293394,85.091942,0.00591412664389055,0.02869448435879139,-542.2236023854073,45.79919471114743,69.30563883831383,513.740964360805,67.33067321777344,139.0037033648959
5165061250.294188,74.084007,0.024510688260781534,0.03131071100616016,-530.9386601560961,12.05833820350556,4.275063105787922,134.5967295333234,166.18151760101318,36.68558767693223
5165061252.294941,37.451946,0.015276535416447079,0.029973503128323056,-531.1379447748968,18.520924853767497,179.46199115445324,216.32355628516146,38.00376510620117,56.30266045074486
5165061254.295735,25.803534,0.017670130700761868,0.031353610992011914,-531.4429176602761,16.749345494573397,179.29278480558423,180.8756381426054,178.08480262756348,50.85282553206732
5165061256.296529,15.200639,0.009204609081663002,0.028012898312222825,-529.9997191391025,28.727824112450506,153.6004585067476,302.6704609929751,140.85821151733398,87.18767981507231
5165061258.297282,13.620455,0.0058972101545278115,0.03577423901521308,-534.0153431658014,57.2629657002131,176.54674486617478,564.2260037455198,171.03173351287842,173.9283439665232
5165061260.298077,17.603355,0.01487939061646686,0.033597380136500175,-531.5332390848396,21.314262262884178,165.18086210543333,193.20406150315844,96.01547241210938,64.69810393854631
5165061262.29883,17.846937,0.00990834338531129,0.03108439843471343,-530.3545027048513,29.613616986562448,144.78533701119704,313.94104484266114,95.79678344726562,89.89991873745579
5165061264.299623,16.956009,0.011441799489175087,0.03173474441422956,-532.0938998303793,26.18126999445896,157.37676096136784,253.22039490713084,91.75415802001953,79.47904123318338
5165061266.300377,16.033628,0.012505572869077351,0.029186073237032928,-531.8892782745701,22.030386371794574,157.79907571844979,214.9991325530336,39.622802734375,66.86175441928016
5165061268.301171,14.672993,0.013212196342094707,0.030944220417656237,-533.8155630785204,22.10826003797686,3.6773151590232374,218.70098808125488,152.49592208862305,67.11840306803637
5165061270.301925,17.528343,0.012477624125819185,0.029421477710479812,-531.7593123734396,22.25781969282804,176.3779164329244,207.99782355712279,121.08051681518555,67.55035171826846
5165061272.302718,20.963362,0.01517585746328592,0.02999686523331321,-531.5010090035671,18.658325717696123,175.11749672713358,188.38592889849866,41.74028396606445,56.64587674552625
5165061274.303473,15.392348,0.013146491250384208,0.031138319394474586,-530.5475734702426,22.358123434749924,155.70863796502726,222.81549207531936,118.42106628417969,67.90958214325701
5165061276.304266,12.403722,0.012656977111213729,0.038523434642470454,-532.6466512238761,28.730622980472013,157.74860173066008,284.92955491253974,139.4914894104004,87.38296005292347
5165061278.305059,6.95579,0.00620298007400919,0.029172554618698908,-531.3460905242591,44.39398313643152,162.301875816167,410.0166507933053,176.9943356513977,134.8753659653146
