tindex,t,IJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg,fracPol,alpha,alphaerr
294,5165061104.237567,0.022859,0.003765,0.000913,-3.411332,2.289356,115.533554,24.037003,79.352867,6.947955,0.164706,-2.011822,0.653430
295,5165061106.238360,0.028356,0.003741,0.000974,-25.526809,2.458669,39.310178,27.159358,112.620056,7.463128,0.131943,-2.873752,0.622085
296,5165061108.239115,0.025509,0.003180,0.000945,1183.367208,2.804030,150.124466,30.256538,10.192763,8.511133,0.124649,-2.455200,0.635414
297,5165061110.239908,0.027597,0.003787,0.000971,1203.551414,2.419512,162.941560,26.669216,160.123707,7.350093,0.137208,-2.818763,0.631904
298,5165061112.240662,0.023515,0.002935,0.000934,-2883.973585,3.002661,5.796842,32.126765,44.223598,9.120204,0.124810,-2.301648,0.669368
299,5165061114.241455,0.026476,0.003612,0.000954,-322.293720,2.493029,118.222088,27.122507,25.093662,7.572279,0.136414,-2.585656,0.628141
300,5165061116.242209,0.025156,0.002994,0.000948,2226.425232,2.988803,170.230705,32.382977,56.663994,9.083532,0.119021,-2.503821,0.650482
301,5165061118.243003,0.028140,0.003777,0.000970,221.186847,2.423346,65.322308,26.715919,1.103668,7.368216,0.134220,-2.805577,0.618035
302,5165061120.243756,0.026697,0.003286,0.000964,911.677112,2.767872,40.916236,30.342618,0.441588,8.407028,0.123092,-2.721484,0.640251
303,5165061122.244551,0.027479,0.003755,0.000961,2428.960958,2.416051,38.724991,26.436264,73.238823,7.338217,0.136664,-2.688204,0.617824
304,5165061124.245344,0.025664,0.003547,0.000950,-1334.848478,2.528023,2.051728,27.423043,51.793510,7.679633,0.138225,-2.532247,0.641180
305,5165061126.246098,0.025900,0.003184,0.000947,-1368.098312,2.807421,152.555617,30.350962,66.402992,8.520604,0.122939,-2.489541,0.630031
306,5165061128.246891,0.024502,0.002929,0.000935,3075.695233,3.013362,120.529429,32.257296,14.242895,9.145979,0.119542,-2.322073,0.644874
307,5165061130.247645,0.026005,0.003400,0.000941,-813.831234,2.612833,93.897924,28.114793,126.308376,7.930372,0.130755,-2.408622,0.617697
308,5165061132.248439,0.025184,0.003367,0.000936,1153.992669,2.624983,70.184468,28.180166,60.187351,7.981872,0.133681,-2.338961,0.629400
309,5165061134.249192,0.026676,0.003134,0.000954,-2006.154128,2.873641,12.218707,31.279270,64.530609,8.731952,0.117471,-2.587356,0.623629
310,5165061136.249987,0.023907,0.002957,0.000927,1619.806609,2.959413,33.146127,31.470437,6.384801,8.985190,0.123668,-2.207879,0.647026
311,5165061138.250740,0.027091,0.004255,0.000976,-116.159335,2.164848,89.250285,23.968777,67.217110,6.579338,0.157077,-2.893884,0.653875
312,5165061140.251534,0.024641,0.003257,0.000943,2104.089764,2.732839,147.311513,29.475794,42.449589,8.302924,0.132164,-2.431769,0.654800
313,5165061142.252287,0.026953,0.003259,0.000957,-2373.830701,2.773124,130.608950,30.251657,63.296288,8.421818,0.120921,-2.636100,0.623290
314,5165061144.253081,0.026020,0.003587,0.000951,1862.662191,2.503023,38.358688,27.177909,160.122126,7.603448,0.137873,-2.549481,0.634562
315,5165061146.253875,0.027012,0.003224,0.000948,836.154757,2.774990,17.544784,30.021895,99.897217,8.422589,0.119356,-2.501058,0.605446
316,5165061148.254628,0.024720,0.003783,0.000948,1547.096015,2.365000,13.330194,25.582579,72.295700,7.177744,0.153015,-2.499626,0.661394
317,5165061150.255423,0.027209,0.002973,0.000951,-2908.078263,3.018631,6.299897,32.749356,24.678970,9.166660,0.109256,-2.540908,0.605800
318,5165061152.256176,0.024992,0.003491,0.000941,-3239.119166,2.543463,132.089240,27.357678,102.132294,7.719782,0.139700,-2.402120,0.641946
319,5165061154.256969,0.027167,0.003283,0.000957,1366.445777,2.752550,20.696889,30.006176,43.214870,8.353708,0.120859,-2.635613,0.618308
320,5165061156.257723,0.025816,0.003752,0.000960,837.863674,2.414840,175.758378,26.378107,10.987509,7.330416,0.145319,-2.667782,0.654905
321,5165061158.258517,0.026418,0.003216,0.000955,2093.917178,2.801927,95.588089,30.515231,116.184025,8.513623,0.121749,-2.597769,0.631030
322,5165061160.259271,0.025265,0.003110,0.000944,1883.873770,2.866469,68.109991,30.969881,129.928799,8.712666,0.123097,-2.453493,0.641345
323,5165061162.260064,0.027646,0.003804,0.000962,808.792155,2.386970,41.057894,26.113584,111.976738,7.244347,0.137606,-2.698886,0.615443
324,5165061164.260818,0.024467,0.003080,0.000939,-51.955463,2.878380,152.915048,30.929875,136.498817,8.737933,0.125906,-2.382538,0.653263
