NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
2474;J1847-0130;J1847-0130;6.707046;1.27E-12;*;*;5.801;*;8.33E+04;9.36E+13;1.67E+32
2408;J1718-3718;J1718-3718;3.378574;1.61E-12;*;*;3.918;*;3.32E+04;7.47E+13;1.65E+33
2434;J1814-1744;J1814-1744;3.975905;7.45E-13;*;*;5.037;*;8.46E+04;5.51E+13;4.68E+32
1907;J1734-3333;J1734-3333;1.169341;2.28E-12;*;*;4.461;*;8.13E+03;5.22E+13;5.63E+34
2438;J1819-1458;J1819-1458;4.263213;5.63E-13;*;*;3.301;XRS:CXOU_J181939.1-145804[mrg+07];1.20E+05;4.96E+13;2.87E+32
2172;J1821-1419;J1821-1419;1.65601;8.95E-13;*;*;6.129;*;2.93E+04;3.89E+13;7.78E+33
1846;J1746-2850;J1746-2850;1.077101;1.34E-12;*;*;5.612;*;1.27E+04;3.85E+13;4.24E+34
918;J1208-6238;J1208-6238;0.440591;3.27E-12;*;*;*;GRS:3FGL_J1208.4-6239[aaa+15];2.14E+03;3.84E+13;1.51E+36
1872;J1726-3530;J1726-3530;1.110132;1.22E-12;*;*;4.722;SNR:G352.2-0.1(?)[mbc+02];1.45E+04;3.72E+13;3.51E+34
2392;J1924+1631;J1924+1631;2.935186;3.64E-13;*;*;10.183;*;1.28E+05;3.31E+13;5.69E+32
2412;J0726-2612;J0726-2612;3.442308;2.93E-13;*;*;2.9;XRS:1RXS_J072559.8-261229[skk11];1.86E+05;3.21E+13;2.84E+32
2220;J0534-6703;J0534-6703;1.817565;4.25E-13;*;*;49.7;EXGAL:LMC;6.78E+04;2.81E+13;2.79E+33
2452;J0736-6304;J0736-6304;4.862874;1.52E-13;*;*;0.104;*;5.07E+05;2.75E+13;5.21E+31
2466;J0847-4316;J0847-4316;5.977493;1.20E-13;*;*;6.547;*;7.90E+05;2.71E+13;2.22E+31
2443;J1846-0257;J1846-0257;4.476723;1.61E-13;*;*;4.003;*;4.42E+05;2.71E+13;7.07E+31
2444;J1854+0306;J1854+0306;4.55782;1.45E-13;*;*;4.498;*;4.98E+05;2.60E+13;6.05E+31
2500;J0250+5854;J0250+5854;23.535378;2.72E-14;*;*;1.558;*;1.37E+07;2.56E+13;8.22E+28
1568;J1632-4818;J1632-4818;0.813672;6.49E-13;*;*;5.308;SNR:G336.1-0.2(?)[mbc+02];1.99E+04;2.33E+13;4.76E+34
2484;J1001-5939;J1001-5939;7.73364;5.99E-14;*;*;1.24;*;2.05E+06;2.18E+13;5.11E+30
2159;J1913+0446;J1913+0446;1.61613;2.79E-13;*;*;4.338;*;9.18E+04;2.15E+13;2.61E+33
2341;B0154+61;J0157+6212;2.351745;1.89E-13;*;*;1.786;*;1.97E+05;2.13E+13;5.73E+32
1875;J1524-5706;J1524-5706;1.116174;3.56E-13;*;*;7.434;*;4.96E+04;2.02E+13;1.01E+34
2332;J1941+2525;J1941+2525;2.306153;1.61E-13;*;*;11.168;*;2.27E+05;1.95E+13;5.18E+32
2077;J1855+0527;J1855+0527;1.393484;2.67E-13;*;*;11.706;*;8.26E+04;1.95E+13;3.90E+33
2372;J1901+0413;J1901+0413;2.66308;1.32E-13;*;*;5.342;*;3.21E+05;1.89E+13;2.75E+32
2468;J1830-1135;J1830-1135;6.221553;4.77E-14;*;*;3.757;*;2.06E+06;1.74E+13;7.83E+30
2347;B1740-31;J1743-3150;2.414652;1.21E-13;*;*;3.332;*;3.17E+05;1.73E+13;3.39E+32
2152;J1713-3844;J1713-3844;1.600114;1.77E-13;*;*;4.426;*;1.43E+05;1.70E+13;1.71E+33
1269;B1737-30;J1740-3015;0.606887;4.66E-13;*;*;0.4;*;2.06E+04;1.70E+13;8.23E+34
2216;J1107-6143;J1107-6143;1.799396;1.56E-13;*;*;2.937;*;1.83E+05;1.69E+13;1.06E+33
1916;B1916+14;J1918+1444;1.181023;2.12E-13;*;*;1.304;*;8.81E+04;1.60E+13;5.09E+33
2202;J0210+5845;J0210+5845;1.766208;1.34E-13;*;*;1.952;*;2.09E+05;1.56E+13;9.60E+32
2170;J1022-5813;J1022-5813;1.643726;1.45E-13;*;*;4.245;*;1.79E+05;1.56E+13;1.29E+33
236;B1509-58;J1513-5908;0.151582;1.53E-12;*;*;4.4;SNR:G320.4-1.2,GRS:PWN:2FGL_J1514.0-5915;1.57E+03;1.54E+13;1.73E+37
2085;J1907+1149;J1907+1149;1.42016;1.60E-13;*;*;7.551;*;1.41E+05;1.52E+13;2.20E+33
2307;B1849+00;J1852+0031;2.180195;9.70E-14;*;*;8;*;3.56E+05;1.47E+13;3.69E+32
1880;J1558-5756;J1558-5756;1.122342;1.86E-13;*;*;3.325;*;9.54E+04;1.46E+13;5.21E+33
344;J1640-4631;J1640-4631;0.206443;9.76E-13;*;*;12.75;SNR:PWN:G338.3-0.0[wg96],GRS:HESS_J1640-;3.35E+03;1.44E+13;4.38E+36
2471;J1736-2843;J1736-2843;6.445036;3.00E-14;*;*;10.415;*;3.40E+06;1.41E+13;4.42E+30
2475;J0738+6904;J0738+6904;6.827693;2.70E-14;*;*;1.124;*;4.01E+06;1.37E+13;3.34E+30
2453;J1926-1314;J1926-1314;4.864284;3.64E-14;*;*;1.531;*;2.11E+06;1.35E+13;1.25E+31
2283;J1822-1252;J1822-1252;2.07104;8.48E-14;*;*;6.404;*;3.87E+05;1.34E+13;3.77E+32
2352;J1808-2701;J1808-2701;2.457882;6.58E-14;*;*;2.706;*;5.92E+05;1.29E+13;1.75E+32
2499;J2251-3711;J2251-3711;12.122565;1.31E-14;*;*;1.344;*;1.47E+07;1.28E+13;2.90E+29
2294;B2002+31;J2004+3137;2.111265;7.46E-14;*;*;8;*;4.49E+05;1.27E+13;3.13E+32
2423;B0525+21;J0528+2200;3.745539;4.01E-14;*;*;1.215;*;1.48E+06;1.24E+13;3.01E+31
629;J1907+0631;J1907+0631;0.323648;4.52E-13;*;*;3.4;SNR:G40.5-0.5[lsb+17];1.13E+04;1.22E+13;5.27E+35
2203;J0139+5621;J0139+5621;1.775344;7.91E-14;*;*;2.41;*;3.56E+05;1.20E+13;5.58E+32
1589;B1727-47;J1731-4744;0.829829;1.64E-13;*;*;0.7;SNR:G343.0-6.0(RCW114)[skz+19],GRS:[sbc+;8.04E+04;1.18E+13;1.13E+34
1773;J1905+0616;J1905+0616;0.989706;1.35E-13;*;*;4.952;*;1.16E+05;1.17E+13;5.51E+33
2190;J1632-4621;J1632-4621;1.709154;7.60E-14;*;*;10.101;*;3.56E+05;1.15E+13;6.01E+32
2460;J1840-0840;J1840-0840;5.309377;2.37E-14;*;*;5.095;*;3.55E+06;1.13E+13;6.25E+30
