"source","radio","association","class","distance(kpc)","l(deg)","b(deg)","period(s)","pdot(1e-11s/s)","pdot_ul","Bp(e14G)","B_ul","Edot(e33erg/s)","Edot_ul","tau_c(kyr)","tauc_lowlim","tau_real(kyr)","ref_age_real","luminosity_bol_qui(e33erg/s)","lum_ul","kT_min","Err_kT_min","kT_min_ul","lumin_peak","kT_max","Err_kT_max","kT_max_ul","Unnamed: 27"
"CXOUJ185238.6+0040","","SNR Kes79","CCO","7.1","33.667347","0.038728","0.105","0.00000087","","0.00061","","0.32","","190000","","6.3","SNR","12","","0.133","0.001","","","","","",""
"1E1207.4-5209","","SNR G296.5+10.0","CCO","2.35","296.545164","9.916088","0.424","0.0000022","","0.00196","","0.012","","302000","","7","SNR","3","","0.25","0.1","","","","","",""
"RXJ0822.0-4300","","SNR PuppisA","CCO","2.2","260.572541","-3.495317","0.113","0.00000093","","0.00058","","0.19","","254000","","4.45","SNR","4","","0.45","0.05","","","","","",""
"1E161348-5055","","SNR RCW103","CCO","3.3","332.428951","-0.373763","24030","70","True","3000","True","","True","5000","True","2","SNR","2.8","","0.4","0.1","","220","1.2","0.1","",""
"CXOJ085201.4-461753","","SNR Vela Jr","CCO","0.77","","","","","","","","","","","","2.1","SNR","0.2","","0.09","0.01","","","","","",""
"CXOJ232327.9+584842","","SNR CasA","CCO","3.4","","","","","","","","","","","","0.32","SNR","6.5","","0.123","0.06","","","","","",""
"1E0102.2-7219","","B0102-72.3 - SMC)","CCO","62","","","","","","","","","","","","2.1","SNR","11","","0.21","0.05","","","","","",""
"2XMMJ104608.7-594306","","Homunculus","CCO","2.35","","","","","","","","","","","","11","SNR","0.6","","0.06","0.02","","","","","",""
"CXOJ160103.1-513353","","G330.2+1.0","CCO","5","","","","","","","","","","","","0.8","SNR","5.8","","0.118","0.001","","","","","",""
"1WGAJ1713.4-3949","","G347.3-0.5","CCO","1.3","","","","","","","","","","","","1.6","SNR","2","","0.138","0.001","","","","","",""
"XMMUJ172054.5-372652","","G350.1-0.3","CCO","6.1","","","","","","","","","","","","0.6","SNR","15","","0.161","0.009000000000000001","","","","","",""
"XMMUJ173203.3-344518","","HESSJ1731-347","CCO","3.2","","","","","","","","","","","","4","SNR","17.4","","0.153","0.004","","","","","",""
"CXOUJ181852.0-150213","","G015.9+0.002","CCO","10","","","","","","","","","","","","3.4","SNR","8.4","","0.13","0.02","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGR1627-41","","SNR G337.0-0.1","Magnetar","11","336.98","-0.11","2.59","1.9","","4.5","","43","","2","","5","SNR","1.2","","","","","320","","","",""
"1E2259+586","","SNR CTB109","Magnetar","3.2","109.09","-1","6.98","0.048","","1.2","","0.13","","230","","10","SNR","61","","0.37","0.01","","123","0.62","0.006999999999999999","",""
"XTEJ1810-197","True","","Magnetar","3.5","10.73","-0.16","5.54","0.28300000000000003","","2.6","","0.67","","31","","","","32","","0.131","0.004","","470","0.695","0.008","",""
"SGR1806-20","","W31 open cluster","Magnetar","8.7","10","-0.24","7.75","7.5","","15","","1.6","","1.6","","0.8","PM","140","","0.61","0.04","","362","0.9","0.04","",""
"CXOUJ1647-4552","","Westerlund1","Magnetar","4","339.55","-0.43","10.61","0.097","","2.1","","0.032","","173","","","","3.5","","0.52","0.02","","120","0.71","0.02","",""
"SGRJ0501+4516","","SNR HB9","Magnetar","1.5","161.55","1.95","5.76","0.594","","3.7","","1.2","","15","","10","SNR","1.3","","0.37","0.02","","34","0.76","0.01","",""
"1E1547-5408","True","SNR G327.24-0.13","Magnetar","4.5","327.24","-0.13","2.07","4.77","","6.4","","210","","0.69","","","SNR","2.3","","0.36","0.16","","500","0.61","0.01","",""
"SGRJ0418+5729","","","Magnetar","2","147.98","5.12","9.08","0.0004","","0.12","","0.00021","","36000","","","","0.008","","0.3","0.05","","102","0.95","0.05","",""
"SGRJ1833-0832","","","Magnetar","","23.34","0.02","7.57","0.35","","3.3","","0.32","","34","","","","8","True","","","True","102","","","",""
"SwiftJ1822.3-1606","","","Magnetar","1.6","15.35","-1.02","8.44","0.013","","0.68","","0.0084","","1030","","","","0.3","","0.2","0.05","","80","0.8","0.02","",""
"SwiftJ1834.9-0846","","","Magnetar","4.2","23.25","-0.34","2.48","0.8059999999999999","","2.9","","21","","5","","","","0.2","True","","","True","100","","","",""
